_______Metadata
source_form,core_area,activity,item,subitem
B,人際關係,4. 拜訪親朋好友,2. 規劃個人訪友,
B,社會融合,5. 參與喜歡的社區活動,1. 選擇喜愛的社區活動,
B,社會融合,5. 參與喜歡的社區活動,2. 用餐,
B,社會融合,5. 參與喜歡的社區活動,3. 宗教活動,
B,社會融合,5. 參與喜歡的社區活動,4. 志工,
B,社會融合,6. 選購物品與服務,1. 到適當商店購買需要的物品、或服務,
B,社會融合,6. 選購物品與服務,2. 購買安全食物,
B,社會融合,6. 選購物品與服務,3. 電子票卡儲值/繳費,
B,社會融合,6. 選購物品與服務,4. 購買合適衣物,
B,社會融合,6. 選購物品與服務,5. 透過目錄和網際網路購買特定的物品,
B,人際關係,7. 與社區居民互動,1. 使用社交禮儀與人互動(EX:握手/表示謝謝.請.對不起與人互動),
B,人際關係,7. 與社區居民互動,2. 維持社交合宜的人際界線(EX:身體適當距離/觸碰/隱和/個人安全),
B,社會融合,8. 使用公共大樓和設施,2. 依循標誌使用場所中的公共設施,
B,社會融合,8. 使用公共大樓和設施,3. 遵守與瞭解進出和使用設備的規定及後果,
C,個人發展,1. 在學習活動與他人互動,1. 在團體活動中能表達自己的想法,
C,個人發展,1. 在學習活動與他人互動,2. 能遵循團體規則或支持者的指示,
C,個人發展,1. 在學習活動與他人互動,3. 在學習活動中能尊重他人並與人合作,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),1. 了解自己在學習上的選擇與目標,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),2. 表達自己在學習上的選擇與目標,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),3. 知道透過哪些正式機構可以得到課程資訊,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),4. 透過正式機構所提供的資訊查閱,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),5. 選擇自己有興趣的課程/班級/工作坊,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),6. 計畫符合需要的課程時間表/上課方式,
C,個人發展,2. 參與教育/訓練決策(正式的課堂訓練),7. 報名參加,
C,個人發展,3. 學習並使用問題解決策略,1. 辨識何時出錯/有問題,
C,個人發展,3. 學習並使用問題解決策略,2. 想出1. 至2. 個解決策略,
C,個人發展,3. 學習並使用問題解決策略,3. 確認適合的解決策略,
C,個人發展,3. 學習並使用問題解決策略,4. 將解決策略運用在現實生活中,
C,個人發展,3. 學習並使用問題解決策略,5. 面對問題挫折時適當面對與處理,
C,個人發展,4. 操作科技工具學習(正式的課堂訓練),1. 使用電子計算機,
C,個人發展,4. 操作科技工具學習(正式的課堂訓練),2. 電腦使用,
C,個人發展,4. 操作科技工具學習(正式的課堂訓練),3. 使用MP3. /MP4,
C,個人發展,4. 操作科技工具學習(正式的課堂訓練),4. 使用手機,
C,個人發展,4. 操作科技工具學習(正式的課堂訓練),5. 使用擴大性溝通輔具(EX:AAC.溝通圖卡.),
C,個人發展,5. 使用教育/訓練設施(正式的課堂訓練),1. 自行到達課堂地點,
C,個人發展,5. 使用教育/訓練設施(正式的課堂訓練),2. 遵守與瞭解進出和使用設備的規定及後果,
C,個人發展,6. 學習基本認知,1. 閱讀,1) 閱讀個人基本資料
C,個人發展,6. 學習基本認知,1. 閱讀,2) 閱讀重要關係人基本資料
C,個人發展,6. 學習基本認知,1. 閱讀,3) 閱讀公共場所的公共標示/符號/告示/招貼
C,個人發展,6. 學習基本認知,1. 閱讀,4) 閱讀生活場所的名稱
C,個人發展,6. 學習基本認知,1. 閱讀,5) 查閱電話本
C,個人發展,6. 學習基本認知,1. 閱讀,6) 閱讀目錄
C,個人發展,6. 學習基本認知,1. 閱讀,7) 閱讀書信並有適當反應
C,個人發展,6. 學習基本認知,1. 閱讀,8) 閱讀物品使用手冊/說明書
C,個人發展,6. 學習基本認知,2. 書寫,1) 數字
C,個人發展,6. 學習基本認知,2. 書寫,2) 重要詞彙
C,個人發展,6. 學習基本認知,2. 書寫,3) 個人基本資料
C,個人發展,6. 學習基本認知,2. 書寫,4) 簡短信函/便條/購物單
C,個人發展,6. 學習基本認知,2. 書寫,5) 個人需要/想法
C,個人發展,6. 學習基本認知,2. 書寫,6) 短文/日記
C,個人發展,6. 學習基本認知,2. 書寫,7) 手機發簡訊/進行需要的輸入
C,個人發展,6. 學習基本認知,3. 金錢使用,1) 加的概念
C,個人發展,6. 學習基本認知,3. 金錢使用,2) 減的概念
C,個人發展,6. 學習基本認知,3. 金錢使用,3) 辨識錢幣及紙鈔
C,個人發展,6. 學習基本認知,3. 金錢使用,4) 兌換錢幣
C,個人發展,6. 學習基本認知,3. 金錢使用,5) 購物時會付出合理的金額並等候找零
C,個人發展,6. 學習基本認知,3. 金錢使用,6) 核對找錢是否正確
C,個人發展,6. 學習基本認知,3. 金錢使用,7) 購物時索取發票
C,個人發展,6. 學習基本認知,3. 金錢使用,8) 使用輔助器（計算機）估算欲購食物
C,個人發展,6. 學習基本認知,4. 購買比價,1) 分辨價錢的貴/便宜
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,1) 星期與例行作息的關係
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,2) 使用日暦
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,3) 使用週暦
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,4) 使用月曆
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,5) 閱讀鐘錶/電子錶
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,6) 使用鬧鐘/在鐘響時有適當反應
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,7) 使用作息表規律的生活或進行活動
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,8) 使用個人日曆/記事本紀錄重要事情
C,個人發展,6. 學習基本認知,5. 閱讀與運用時間,9) 閱讀時刻表上的時間並做適當反應
C,個人發展,6. 學習基本認知,6. 記憶重要/常用資料,1) 背誦個人基本資料
C,個人發展,6. 學習基本認知,6. 記憶重要/常用資料,2) 覆誦一段數字並做出適當反應
C,個人發展,7. 學習健康與體育知能,1. 學習遵循並維持適當的飲食與運動,
C,個人發展,7. 學習健康與體育知能,2. 學習了解良好的營養與不當營養對身體的影響,
C,個人發展,7. 學習健康與體育知能,3. 學習用藥並紀錄.,
C,個人發展,8. 學習自我決策技能,1. 學習表達個人目標與喜好,
C,個人發展,8. 學習自我決策技能,2. 學習了解所做的選擇的相關後果和責任,
C,個人發展,8. 學習自我決策技能,3. 運用自我檢核管理個人生活中的活動,
C,情緒福祉,9. 學習自我管理策略,1. 計劃作息,
C,情緒福祉,9. 學習自我管理策略,2. 遵守工作規則/生活公約/班級公約,
C,情緒福祉,9. 學習自我管理策略,3. 按時完成交辦的事項,
C,情緒福祉,9. 學習自我管理策略,4. 分辨事情輕重緩急並決定先後順序依序進行,
C,情緒福祉,9. 學習自我管理策略,5. 運用衝動/情緒控制的原則在日常生活中,
C,情緒福祉,9. 學習自我管理策略,6. 知道遵守承諾的意義與重要性,
C,情緒福祉,9. 學習自我管理策略,7. 能運用遵守承諾的意義與重要性在日常生活中,
C,情緒福祉,9. 學習自我管理策略,8. 在日常生活中自我約束行為/自我提醒須注意的弱點,
C,情緒福祉,9. 學習自我管理策略,9. 自我生活安排,
D,物質福祉,1. 得到/適應工作,1. 工作意識,1) 認識工作對個人的價值
D,物質福祉,1. 得到/適應工作,1. 工作意識,2) 認識工作酬薪的方式
D,物質福祉,1. 得到/適應工作,1. 工作意識,3) 知道自己的工作興趣、能力與限制
D,物質福祉,1. 得到/適應工作,1. 工作意識,4) 了解適合自己的工作職種內容與機會
D,物質福祉,1. 得到/適應工作,2. 職務適應,1) 了解自己的職務適應情況
D,物質福祉,1. 得到/適應工作,2. 職務適應,2) 工作中遇有困難會先設法自己解決或尋求協助
D,物質福祉,2. 學習並使用特定的工作技能,1. 遵守基本人事規定,1) 依規定請假
D,物質福祉,1. 得到/適應工作,2. 職務適應,2) 工作中先取得同意才離開工作崗位
D,物質福祉,1. 得到/適應工作,2. 職務適應,3) 遵守職場的工作規範
D,物質福祉,2. 學習並使用特定的工作技能,2. 工作準備或整理,1) 工作前已能著好工作服並在工作區內
D,物質福祉,2. 學習並使用特定的工作技能,2. 工作準備或整理,2) 工作前將材料或工具準備妥當
D,物質福祉,2. 學習並使用特定的工作技能,2. 工作準備或整理,3) 工作後將材料或工具歸位
D,物質福祉,2. 學習並使用特定的工作技能,2. 工作準備或整理,4) 維護工具或場所整潔
D,物質福祉,2. 學習並使用特定的工作技能,2. 工作準備或整理,5) 工作中小心保護器物
D,物質福祉,2. 學習並使用特定的工作技能,3. 工作計畫,1) 依工作計畫行事
D,物質福祉,2. 學習並使用特定的工作技能,3. 工作計畫,2) 負責多項工作時，依所分配的時間執行
D,物質福祉,2. 學習並使用特定的工作技能,4. 服從指令,1) 開始工作時能主動到指定區域，並立刻著手開始工作
D,物質福祉,2. 學習並使用特定的工作技能,4. 服從指令,2) 服從工作分派，不計較或排斥
D,物質福祉,2. 學習並使用特定的工作技能,4. 服從指令,3) 工作完成後會適當告知長官或同事，並詢問是否還要做其他工作
D,物質福祉,3. 在可接受的速度下完成工作相關任務,1. 持續工作不受環境干擾,
D,物質福祉,3. 在可接受的速度下完成工作相關任務,2. 工作中被糾正或打斷，盡快恢復工作,
D,物質福祉,3. 在可接受的速度下完成工作相關任務,3. 獨立完成工作，不需直接督導,
D,物質福祉,3. 在可接受的速度下完成工作相關任務,4. 工作中有不安或焦慮時會尋求協助,
D,物質福祉,3. 在可接受的速度下完成工作相關任務,5. 在指定的工作時限內完成工作,
D,物質福祉,4. 在可接受的品質內完成工作相關任務,1. 知道工作品質的要求,
D,物質福祉,4. 在可接受的品質內完成工作相關任務,2. 依規定完成品質檢核,
D,物質福祉,5. 變更指派的工作,1. 承受工作壓力、額外的工作,
D,物質福祉,5. 變更指派的工作,2. 適應工作中的變動,
D,物質福祉,5. 變更指派的工作,3. 接受較難或具挑戰性的工作,
D,物質福祉,5. 變更指派的工作,4. 溝通臨時交辦的工作困難處,
D,物質福祉,5. 變更指派的工作,5. 提出工作改變時需要的協助,
D,物質福祉,6. 金錢使用與物品擁有,1. 有足夠的錢購買生活需要的物品,
D,物質福祉,6. 金錢使用與物品擁有,2. 有自己的存款帳戶或金融卡，可以自由運用,
D,物質福祉,6. 金錢使用與物品擁有,3. 存更多的錢，可以買貴重的物品或旅行,
D,物質福祉,6. 金錢使用與物品擁有,4. 讓自己的居住環境更舒適,
D,物質福祉,6. 金錢使用與物品擁有,5. 有保存重要物品空間或櫃子,
E,生理福祉,1. 服用藥物與用藥安全,1. 配合醫生的囑咐吃藥/塗藥,
E,生理福祉,1. 服用藥物與用藥安全,2. 知道自己因為什麼病症而服藥/塗藥,
E,生理福祉,1. 服用藥物與用藥安全,3. 吃藥後身體有不舒服去告訴照顧者/醫生,
E,生理福祉,1. 服用藥物與用藥安全,4. 警覺慢性疾病藥物快用完，請求協助,
E,生理福祉,2. 避免危及自身健康與安全,1. 人身安全,
E,生理福祉,2. 避免危及自身健康與安全,2. 居家安全,
E,生理福祉,2. 避免危及自身健康與安全,3. 消防安全,
E,生理福祉,2. 避免危及自身健康與安全,4. 交通安全,
E,生理福祉,2. 避免危及自身健康與安全,5. 食的安全,
E,生理福祉,3. 取得健康照顧服務,1. 身體不適或受傷會告訴照顧者,
E,生理福祉,3. 取得健康照顧服務,2. 自行就醫,
E,生理福祉,3. 取得健康照顧服務,4. 遵照建議服用保健食品,
E,生理福祉,4. 隨意行走與移動,1. 需要時，會使用輔具讓自己走得平穩、安全,
E,生理福祉,4. 隨意行走與移動,2. 避開路上的障礙物或坑洞,
E,生理福祉,4. 隨意行走與移動,3. 上下階梯或手扶梯會適時抓握扶手,
E,生理福祉,4. 隨意行走與移動,4. 依規定使用電梯,
E,生理福祉,4. 隨意行走與移動,5. 團體行動時，不隨意脫隊,
E,生理福祉,5. 學習如何取得緊急服務,1. 辨識緊急或無法自行處理的狀況,
E,生理福祉,5. 學習如何取得緊急服務,2. 緊急服務使用,
E,生理福祉,5. 學習如何取得緊急服務,3. 個人應變計畫,
E,生理福祉,6. 維持飲食均衡,1. 定時定量,
E,生理福祉,6. 維持飲食均衡,2. 配合建議攝取健康的食物,
E,生理福祉,6. 維持飲食均衡,3. 知道每日要多攝取多樣的蔬菜水果,
E,生理福祉,6. 維持飲食均衡,4. 選擇少油、少鹽、少糖、高纖類的食物攝取,
E,生理福祉,"7. 維持身體健康、
身材適中",1. 體重控制,
E,生理福祉,"7. 維持身體健康、
身材適中",2. 規律運動,
E,生理福祉,"7. 維持身體健康、
身材適中",3. 自我保健常識,
E,情緒福祉,8. 維持情緒健康,1. 辨別基本情緒,
E,情緒福祉,8. 維持情緒健康,2. 知道情緒或行為的原因，並適當的反應,
E,情緒福祉,8. 維持情緒健康,3. 知道情緒或行為造成的影響,
E,情緒福祉,8. 維持情緒健康,4. 人事物等情境改變時，能保持穩定的情緒,
E,情緒福祉,8. 維持情緒健康,5. 在適當的情境表現合宜的情緒,
E,情緒福祉,8. 維持情緒健康,6. 使用適當的方法紓解情緒,
F,人際關係,1. 與人合宜的互動溝通,1. 理解他人的口語/非口語溝通表達,
F,人際關係,1. 與人合宜的互動溝通,2. 使用口語/非口語方式表達需求、意願或想法/情感,
F,人際關係,1. 與人合宜的互動溝通,3. 正確轉述他人的話或交待的事項,
F,人際關係,1. 與人合宜的互動溝通,4. 與他人聊天、討論重要的事件,
F,人際關係,1. 與人合宜的互動溝通,5. 對他人表示關心、問候、祝福,
F,人際關係,1. 與人合宜的互動溝通,6. 適當的表達拒絕,
F,人際關係,1. 與人合宜的互動溝通,7. 接聽電話時替人傳話或留言,
F,人際關係,2. 與他人一起參與休活動,1. 與他人一同做團體遊戲或活動,
F,人際關係,2. 與他人一起參與休活動,2. 輪流或等待活動的進行,
F,人際關係,2. 與他人一起參與休活動,3. 遵守遊戲或活動的規則,
F,人際關係,2. 與他人一起參與休活動,4. 和夥伴合作完成遊戲或活動,
F,人際關係,2. 與他人一起參與休活動,5. 活動中與夥伴討論或分享經驗或心情,
F,人際關係,2. 與他人一起參與休活動,6. 在團體中察言觀色，以決定自己該採取的行動,
F,人際關係,3. 建立並維持友誼,1. 了解不同的情誼,
F,人際關係,3. 建立並維持友誼,2. 用合宜的方式問候、關心朋友,
F,人際關係,3. 建立並維持友誼,3. 與朋友聊天、溝通,
F,人際關係,3. 建立並維持友誼,4. 在活動中能認識新朋友,
F,人際關係,3. 建立並維持友誼,5. 邀請朋友出遊、參加活動,
F,人際關係,3. 建立並維持友誼,6. 使用電子郵件或通訊軟體與人互動,
F,人際關係,3. 建立並維持友誼,7. 與不同類型朋友互動，謹守分寸自我保護,
F,人際關係,3. 建立並維持友誼,8. 處理與朋友間的不同意見及衝突,
F,人際關係,4. 與他人溝通個人需求,1. 知道自己的問題或需求,
F,人際關係,4. 與他人溝通個人需求,2. 用口語/非口語/輔具表達自己的問題或需求,
F,人際關係,4. 與他人溝通個人需求,"3. 需要時,會在社區中找到適當的人協助",
F,人際關係,4. 與他人溝通個人需求,4. 向適當的人（認識的人）表達自己的問題、需求,
F,人際關係,4. 與他人溝通個人需求,5. 對自己的問題或需求，做適當的判斷和選擇,
F,人際關係,4. 與他人溝通個人需求,6. 在適當的時間表達問題、需求,
F,人際關係,4. 與他人溝通個人需求,7. 正確清楚的表達自己的問題、需求,
F,人際關係,4. 與他人溝通個人需求,8. 用平穩的心情表達問題、需求,
F,人際關係,4. 與他人溝通個人需求,9. 適時表達較私密的問題或需求,
F,人際關係,5. 使用適當的社交技巧,1.    接聽電話的基本禮貌,
F,人際關係,5. 使用適當的社交技巧,2.    社交禮儀,
F,人際關係,5. 使用適當的社交技巧,3.    餐桌禮儀,
F,人際關係,6. 擁有親密戀情,1. 兩性有關知識,
F,人際關係,6. 擁有親密戀情,2. 身體自主權意識,
F,人際關係,6. 擁有親密戀情,3. 合宜兩性交往與情感,
G,自我決策,1. 為自己與他人發聲,1. 用尊重平和的方式表達感覺、意見或想法,
G,自我決策,1. 為自己與他人發聲,2. 在適當的時機為別人或他人發聲,
G,自我決策,1. 為自己與他人發聲,3. 使用身心障礙服務資源,
G,自我決策,1. 為自己與他人發聲,4. 受歧視或不平等待遇時，適當的反應或尋求協助,
G,自我決策,1. 為自己與他人發聲,5. 權益受侵犯時，適當反應或尋求協助,
G,權利,2. 保護自己免於被利用,1. 不隨便借錢/物品給別人,
G,權利,2. 保護自己免於被利用,2. 避免過度使用電話、手機,
G,個人發展,3. 處理個人的金錢財物,1. 擬定每天日常生活的支出預算,
G,個人發展,3. 處理個人的金錢財物,2. 規劃一個月的零用錢要如何使用，並控管自己的花費,
G,個人發展,3. 處理個人的金錢財物,3. 將平時花費記帳,
G,個人發展,3. 處理個人的金錢財物,4. 在能力範圍內花費,
G,個人發展,3. 處理個人的金錢財物,5. 使用悠遊卡、愛心卡、iCash卡付款等,
G,個人發展,3. 處理個人的金錢財物,6. 儲蓄,
G,個人發展,3. 處理個人的金錢財物,7. 存簿、金融卡、密碼與印鑑保管與使用安全,
G,權利,4. 行使自己的法律責任,1. 了解警察局、法院等公權力單位的角色與自身的關係,
G,權利,4. 行使自己的法律責任,2. 遵守一般法律,
G,權利,4. 行使自己的法律責任,3. 知道觸犯法律的後果,
G,權利,4. 行使自己的法律責任,4. 理解公民基本權利,
G,自我決策,5. 歸屬或參與自我倡議/支持組織,1. 知道與自身權益福利相關的組織/團體,
G,自我決策,5. 歸屬或參與自我倡議/支持組織,2. 表示參加相關組織/團體的意願,
G,自我決策,5. 歸屬或參與自我倡議/支持組織,3. 成為相關組織/團體的成員,
G,自我決策,5. 歸屬或參與自我倡議/支持組織,4. 參與相關組織/團體的會議,
G,自我決策,5. 歸屬或參與自我倡議/支持組織,5. 參與相關組織/團體的選舉活動,
G,自我決策,5. 歸屬或參與自我倡議/支持組織,6. 擔任相關組織/團體的幹部,
G,權利,6. 取得法律服務,1. 辨別需要法律的服務,
G,權利,6. 取得法律服務,2. 知道可提供法律諮詢或服務的單位,
G,權利,6. 取得法律服務,3. 向相關人員尋求協助取得法律服務,
G,權利,6. 取得法律服務,4. 說出所發生的法律事件,
G,自我決策,7. 選擇與決定,1. 簡易的生涯規劃,
G,自我決策,7. 選擇與決定,2. 選擇個人喜好的事物,
G,自我決策,7. 選擇與決定,3. 為自己的決定承擔責任,
G,自我決策,7. 選擇與決定,4. 誠實守信用,
